filename,document_id,revision,folder_type,subfolder,local_path
D39901 Halcyon 4.0 SN3 Device History Record Rev 08.pdf,D39901,8,Design Validation,Test Environment,C:\Users\z005a2sy\Audit-Rag\Audit-Rag\docs\Design Validation\Test Environment\D39901 Halcyon 4.0 SN3 Device History Record Rev 08.pdf
D40347 HAL SN4 Test Device Parts List Rev08.pdf,D40347,8,Design Validation,Test Environment,C:\Users\z005a2sy\Audit-Rag\Audit-Rag\docs\Design Validation\Test Environment\D40347 HAL SN4 Test Device Parts List Rev08.pdf
D40348 HAL 4.0 TSCL for SN 4 Release 4.00.0122 Rev14.pdf,D40348,14,Design Validation,Test Environment,C:\Users\z005a2sy\Audit-Rag\Audit-Rag\docs\Design Validation\Test Environment\D40348 HAL 4.0 TSCL for SN 4 Release 4.00.0122 Rev14.pdf
D41202 HAL 4.0 TSCL for UX 1 Rev 04.pdf,D41202,4,Design Validation,Test Environment,C:\Users\z005a2sy\Audit-Rag\Audit-Rag\docs\Design Validation\Test Environment\D41202 HAL 4.0 TSCL for UX 1 Rev 04.pdf
D41373 HAL 4.0 Release Scope Rev 6.0.docx.pdf,D41373,6,Design Input Specification,Concept Proposals,C:\Users\z005a2sy\Audit-Rag\Audit-Rag\docs\Design Input Specification\Concept Proposals\D41373 HAL 4.0 Release Scope Rev 6.0.docx.pdf
D41377 HAL 4.0 MR2 Product Requirements Rev 5.0.doc.pdf,D41377,5,Design Input Specification,Product Requirement Documents,C:\Users\z005a2sy\Audit-Rag\Audit-Rag\docs\Design Input Specification\Product Requirement Documents\D41377 HAL 4.0 MR2 Product Requirements Rev 5.0.doc.pdf
D42334 CR SBP Rev 04.docx.pdf,D42334,4,Design Output Specification,Build Procedures,C:\Users\z005a2sy\Audit-Rag\Audit-Rag\docs\Design Output Specification\Build Procedures\D42334 CR SBP Rev 04.docx.pdf
D44094_HAL4.0_CER_Rev05.pdf,D44094,5,Regulatory,Test Reports - Regulatory Compliance,C:\Users\z005a2sy\Audit-Rag\Audit-Rag\docs\Regulatory\Test Reports - Regulatory Compliance\D44094_HAL4.0_CER_Rev05.pdf
D44918 Halcyon3 UA Checklist IFU Addendum P1038731-001-A Rev 01.pdf,D44918,1,Design Output Specification,Labeling,C:\Users\z005a2sy\Audit-Rag\Audit-Rag\docs\Design Output Specification\Labeling\D44918 Halcyon3 UA Checklist IFU Addendum P1038731-001-A Rev 01.pdf
D45070 Hal 4 Applicable Product Standards Rev 2.docx.pdf,D45070,2,Regulatory,Applicable Standards,C:\Users\z005a2sy\Audit-Rag\Audit-Rag\docs\Regulatory\Applicable Standards\D45070 Hal 4 Applicable Product Standards Rev 2.docx.pdf
